JSON File,Size,McCabe,Readability,Revisions
source_jsons/hadoop/63560.json,10,2,4.1853892616927624E-4,2
source_jsons/hadoop/66298.json,3,2,0.8336927890777588,2
source_jsons/hadoop/55901.json,3,2,0.3046153783798218,1
source_jsons/hadoop/81709.json,10,3,0.06849440932273865,1
source_jsons/hadoop/18887.json,3,2,0.8961356282234192,3
source_jsons/hadoop/29323.json,3,2,0.9802771806716919,5
source_jsons/hadoop/2999.json,3,2,0.7325063943862915,1
source_jsons/hadoop/78286.json,15,4,0.0,8
source_jsons/hadoop/49922.json,4,2,0.34898579120635986,3
source_jsons/hadoop/51942.json,3,2,0.4144594669342041,3
source_jsons/hadoop/36486.json,3,2,0.38984954357147217,1
source_jsons/hadoop/2130.json,8,3,0.20070913434028625,4
source_jsons/hadoop/31343.json,3,2,0.47333067655563354,1
source_jsons/hadoop/67523.json,3,2,0.1832132190465927,1
source_jsons/hadoop/50650.json,3,2,2.6505690766498446E-4,3
source_jsons/hadoop/28498.json,10,5,0.04332258179783821,3
source_jsons/hadoop/58260.json,3,2,0.45748528838157654,4
source_jsons/hadoop/25750.json,11,2,2.7148568187840283E-4,1
source_jsons/hadoop/73130.json,7,3,0.5884078145027161,3
source_jsons/hadoop/22095.json,3,2,0.7309738397598267,4
source_jsons/hadoop/38861.json,4,2,0.5540765523910522,3
source_jsons/hadoop/39773.json,23,5,0.0065434956923127174,4
source_jsons/hadoop/44243.json,4,2,0.053359292447566986,5
source_jsons/hadoop/12423.json,7,3,0.5294614434242249,1
source_jsons/hadoop/43586.json,11,4,0.0018417405663058162,1
source_jsons/hadoop/24842.json,6,4,0.8515898585319519,3
source_jsons/hadoop/41041.json,3,2,0.34534692764282227,2
source_jsons/hadoop/17621.json,3,2,0.14880137145519257,2
source_jsons/hadoop/39289.json,22,7,1.462009095121175E-4,12
source_jsons/hadoop/46784.json,4,2,0.38010674715042114,3
source_jsons/hadoop/59888.json,3,2,0.004354052245616913,3
source_jsons/hadoop/20552.json,19,3,0.012116117402911186,3
source_jsons/hadoop/76332.json,3,2,0.8597924709320068,4
source_jsons/hadoop/27297.json,21,5,0.0,12
source_jsons/hadoop/16933.json,3,2,0.7822322845458984,2
source_jsons/hadoop/28162.json,3,2,0.6515424847602844,1
source_jsons/hadoop/55452.json,3,2,0.1348688006401062,1
source_jsons/hadoop/32996.json,3,2,0.5253477692604065,1
source_jsons/hadoop/33684.json,6,3,0.5977005958557129,1
source_jsons/hadoop/80548.json,3,2,0.8834915161132812,2
source_jsons/hadoop/7332.json,3,2,0.6633879542350769,1
source_jsons/hadoop/82575.json,3,2,0.6507106423377991,1
source_jsons/hadoop/49471.json,3,2,0.2576139271259308,3
source_jsons/hadoop/34141.json,3,2,0.03204485401511192,1
source_jsons/hadoop/30801.json,3,2,0.3602699041366577,1
source_jsons/hadoop/63999.json,11,3,0.11652016639709473,4
source_jsons/hadoop/50200.json,3,2,0.008652327582240105,3
source_jsons/hadoop/7298.json,32,9,0.002540063112974167,16
source_jsons/hadoop/2560.json,3,2,0.798009991645813,2
source_jsons/hadoop/67173.json,3,2,0.5373801589012146,4
source_jsons/hadoop/12073.json,3,2,0.3470887541770935,1
source_jsons/hadoop/44613.json,3,2,0.2583823800086975,1
source_jsons/hadoop/39323.json,23,8,0.0,7
source_jsons/hadoop/68286.json,3,2,0.5148777365684509,1
source_jsons/hadoop/59922.json,3,2,0.8393782377243042,1
source_jsons/hadoop/73560.json,3,2,0.906302809715271,4
source_jsons/hadoop/25300.json,21,8,0.10234955698251724,1
source_jsons/hadoop/58630.json,3,2,0.6781548261642456,1
source_jsons/hadoop/76298.json,3,2,0.7033004760742188,4
source_jsons/hadoop/45901.json,3,2,0.5838837623596191,3
